sample_id,lake,basin,block,fish,distance,replicate,d13c,total_c_ug,d15n,total_n_ug,sample_mg,pct_c,pct_n
H3P-10c,H3P,H,3,P,10,c,-27.35241055993457,1329.430291533899,-2.696747716977503,28.171930653243074,2.6665,49.856751979519935,1.0565134315860893
H1A-50c,H1A,H,1,A,50,c,-28.482329092837325,1481.1139129722642,-5.0945332560030625,33.537401260222815,2.9694,49.87923193144286,1.1294335980407766
H1A-50a,H1A,H,1,A,50,a,-28.42947044331567,1489.6354647384646,-1.7307099641018497,54.38219175076959,3.0465,48.89661791362103,1.785071122624966
H1A-50b,H1A,H,1,A,50,b,-29.540469411643166,1431.6889127283025,-3.929329888974554,31.709068042742157,2.8825,49.66830573211804,1.100054398707447
H2P-10z,H2P,H,2,P,10,z,-27.354473794053145,1308.9785672950188,-0.5629526129779704,23.71559489717502,2.5743,50.84794185972959,0.9212444119634472
H2P-50y,H2P,H,2,P,50,y,-26.00677469133035,1440.210464494503,0.24380462872857958,32.07480126467507,2.8791,50.02293996368667,1.1140565199081334
H3P-50c,H3P,H,3,P,50,c,-27.571931627268455,1343.0647743598197,0.0360501853271913,27.37869724769038,2.6971,49.79662505505246,1.0151161339101398
K2P-50z,K2P,K,2,P,50,z,-27.211308451339345,1247.6233945783765,-3.7675506104148413,37.374192106786275,2.5037,49.831185628405024,1.4927584018367328
K2A-50c,K2A,K,2,A,50,c,-25.69004294820068,1491.3397750917043,-2.8456217641237864,37.13069545341076,2.9553,50.46322793258567,1.2564103628535432
K1A-02a,K1A,K,1,A,2,a,-27.455950866187173,1464.0708094398638,-1.301598009529353,30.001872849612248,2.9123,50.27197779898581,1.0301779641387305
K2A-50x,K2A,K,2,A,50,x,-27.22705615117554,1438.5061541412629,-2.3187071847370784,35.60850616587866,2.8592,50.311491121336836,1.2454010270662654
K1P-00z,K1P,K,1,P,0,z,-28.102655683154552,1482.8182233255043,-2.4597766395079357,22.066112778693363,2.9124,50.913961795272094,0.7576607876216648
K2P-05z,K2P,K,2,P,5,z,-28.613517896606332,1252.7363256380968,-3.5121602895871367,22.921483950837725,2.6163,47.88198316852414,0.8761030444076645
K2P-10y,K2P,K,2,P,10,y,-27.90850673476842,1269.7794291704972,-1.722582729183714,25.85280915811572,2.5486,49.822625330396974,1.014392574672986
K2P-10z,K2P,K,2,P,10,z,-27.579877991536296,1286.8225327028977,-0.9406852971547438,31.40426492853404,2.5631,50.205709207713234,1.2252454031654654
